Radius,Theta,Direction,Timestamp
4,3.76991129,2,2023-12-17T13:13:30.1430144+01:00
5,3.1415,1,2023-12-17T13:13:37.1476992+01:00
3,3.76991129,2,2023-12-17T13:13:50.1463808+01:00
5,3.1415,1,2023-12-17T13:13:57.1505024+01:00
3,2.09439516,1,2023-12-17T13:14:10.1499136+01:00
5,3.1415,2,2023-12-17T13:14:17.1659136+01:00
4,4.18879032,2,2023-12-17T13:14:30.1538560+01:00
5,3.1415,1,2023-12-17T13:14:37.1651712+01:00
3,2.93215322,1,2023-12-17T13:14:50.1565440+01:00
5,3.1415,2,2023-12-17T13:14:57.1599488+01:00
4,3.35103226,2,2023-12-17T13:15:10.1717504+01:00
5,3.1415,1,2023-12-17T13:15:17.1871872+01:00
3,2.93215322,1,2023-12-17T13:15:30.1899904+01:00
5,3.1415,2,2023-12-17T13:15:37.2056192+01:00
3,4.18879032,2,2023-12-17T13:15:50.1921024+01:00
5,3.1415,1,2023-12-17T13:15:57.2070400+01:00
4,3.35103226,2,2023-12-17T13:16:10.1958144+01:00
5,3.1415,1,2023-12-17T13:16:17.2011264+01:00
3,4.18879032,2,2023-12-17T13:16:30.1994112+01:00
5,3.1415,1,2023-12-17T13:16:37.2147328+01:00
5,3.35103226,2,2023-12-17T13:16:50.2030464+01:00
5,3.1415,1,2023-12-17T13:16:57.2207488+01:00
16,2.29999995,1,2023-12-17T13:17:10.2067840+01:00
5,3.1415,2,2023-12-17T13:17:17.2173184+01:00
3,3.35103226,2,2023-12-17T13:17:30.2104064+01:00
5,3.1415,1,2023-12-17T13:17:37.2188416+01:00
4,2.93215322,1,2023-12-17T13:17:50.2227200+01:00
5,3.1415,2,2023-12-17T13:17:57.2272896+01:00
4,3.35103226,2,2023-12-17T13:18:10.2400128+01:00
5,3.1415,1,2023-12-17T13:18:17.2448128+01:00
3,4.18879032,2,2023-12-17T13:18:30.2420224+01:00
5,3.1415,1,2023-12-17T13:18:37.2585600+01:00
16,2.29999995,1,2023-12-17T13:18:50.2463872+01:00
5,3.1415,2,2023-12-17T13:18:57.2597120+01:00
4,4.18879032,2,2023-12-17T13:19:10.2641792+01:00
5,3.1415,1,2023-12-17T13:19:17.2681344+01:00
5,2.93215322,1,2023-12-17T13:19:30.2668160+01:00
5,3.1415,2,2023-12-17T13:19:37.2991744+01:00
3,2.09439516,1,2023-12-17T13:19:50.2720768+01:00
5,3.1415,2,2023-12-17T13:19:57.2862208+01:00
3,2.93215322,1,2023-12-17T13:20:10.2748032+01:00
5,3.1415,2,2023-12-17T13:20:17.2920064+01:00
3,3.76991129,2,2023-12-17T13:20:30.2772352+01:00
5,3.1415,1,2023-12-17T13:20:37.2902272+01:00
5,2.93215322,1,2023-12-17T13:20:50.2807936+01:00
5,3.1415,2,2023-12-17T13:20:57.2937856+01:00
3,4.18879032,2,2023-12-17T13:21:10.2951424+01:00
5,3.1415,1,2023-12-17T13:21:17.3005312+01:00
5,2.51327419,1,2023-12-17T13:21:30.2978688+01:00
5,3.1415,2,2023-12-17T13:21:37.3149952+01:00
5,3.35103226,2,2023-12-17T13:21:50.3013376+01:00
5,3.1415,1,2023-12-17T13:21:57.3064448+01:00
5,3.35103226,2,2023-12-17T13:22:10.3191808+01:00
5,3.1415,1,2023-12-17T13:22:17.3235328+01:00
5,2.93215322,1,2023-12-17T13:22:30.3225984+01:00
5,3.1415,2,2023-12-17T13:22:37.3347072+01:00
3,3.76991129,2,2023-12-17T13:22:50.3537792+01:00
5,3.1415,1,2023-12-17T13:22:57.3586176+01:00
3,2.93215322,1,2023-12-17T13:23:10.3415808+01:00
5,3.1415,2,2023-12-17T13:23:17.3459712+01:00
3,4.18879032,2,2023-12-17T13:23:30.3448960+01:00
5,3.1415,1,2023-12-17T13:23:37.3572480+01:00
5,2.93215322,1,2023-12-17T13:23:50.3483648+01:00
5,3.1415,2,2023-12-17T13:23:57.3637888+01:00
4,2.09439516,1,2023-12-17T13:24:10.3518336+01:00
5,3.1415,2,2023-12-17T13:24:17.3565440+01:00
4,2.51327419,1,2023-12-17T13:24:30.3554944+01:00
5,3.1415,2,2023-12-17T13:24:37.3660416+01:00
3,3.35103226,2,2023-12-17T13:24:50.3677952+01:00
5,3.1415,1,2023-12-17T13:24:57.3838976+01:00
4,3.35103226,2,2023-12-17T13:25:10.3713408+01:00
5,3.1415,1,2023-12-17T13:25:17.3759232+01:00
5,2.93215322,1,2023-12-17T13:25:30.3748608+01:00
5,3.1415,2,2023-12-17T13:25:37.4050944+01:00
